Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3UsJUXvHb7qz4GiQtEc4a4,"keep steady","keep steady","sosocamo",2024-08-17,99705,61,,2024-12-08T20:42:59Z,"","broke",0.926,0.477,6,-10.063,1,0.133,0.0736,0,0.11,0.631,120.377,4
6e9biVAugkOfydEN8OiJpi,"Pose (feat. Lil Uzi Vert)","Pose (feat. Lil Uzi Vert)","Yo Gotti,Lil Uzi Vert",2019-08-23,170156,57,,2024-12-08T17:56:24Z,"dirty south rap,gangster rap,memphis hip hop,rap,southern hip hop,tennessee hip hop,trap,hip hop,melodic rap,philly rap,rage rap","Epic/CMG",0.944,0.613,10,-5.999,0,0.291,0.00818,0,0.0893,0.328,120.102,4
0y1lLLaSzHIVQZKHEfwOrm,"Surface","Perfect Ten","Mustard,Ty Dolla $ign,Ella Mai",2019-06-28,194195,41,,2024-12-07T22:13:34Z,"cali rap,pop rap,rap,southern hip hop,trap,hip hop,r&b,trap soul,uk contemporary r&b,urban contemporary","10 Summers Records/Interscope Records",0.475,0.475,5,-7.57,0,0.0698,0.129,0,0.414,0.482,89.432,4
0F7uqQx9trviYhGwD0GD9B,"Sup Mate (feat. Future)","So Much Fun (Deluxe)","Young Thug,Future",2019-12-20,238026,46,,2024-12-06T07:06:14Z,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap,southern hip hop","300 Entertainment/Atl",0.874,0.552,1,-7.951,1,0.271,0.000786,0.286,0.144,0.521,147.043,4
2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga,Bruno Mars",2024-08-16,251667,99,,2024-12-06T00:47:22Z,"art pop,dance pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
4keuUM29CtIWgsPRzRhXoW,"WOKE UP","WOKE UP","XG",2024-05-21,188010,71,,2024-12-01T07:31:48Z,"k-pop girl group","XGALX",0.884,0.633,11,-5.826,0,0.291,0.0222,0,0.0765,0.462,146.904,4
5ocSQW5sIUIOFojwXEz9Ki,"Supernatural","Supernatural","NewJeans",2024-06-21,191000,76,,2024-12-01T07:03:59Z,"k-pop,k-pop girl group","ADOR",0.699,0.708,10,-4.182,0,0.0496,0.185,0.00000843,0.0921,0.863,108.887,4
2gyCwrOcC6JBoaJ8JGJ7T8,"To. X","To. X - The 5th Mini Album","TAEYEON",2023-11-27,170386,66,,2024-11-29T21:27:28Z,"k-pop","SM Entertainment",0.835,0.587,8,-5.814,1,0.08,0.396,0.00000409,0.0862,0.646,97.03,4
12VH4g5pTMZmrUVzfJq7F7,"M a k e I t T o T h e M o r n i n g","PARTYNEXTDOOR 4 (P4)","PARTYNEXTDOOR",2024-04-26,168453,82,,2024-11-28T15:49:15Z,"r&b,rap,urban contemporary","OVO Sound",0.677,0.622,4,-5.901,0,0.0287,0.0831,0.00749,0.154,0.0903,122.738,4
0uYBQGchK3LIkNpxnrA6k7,"When He's Not There (feat. Lucky Daye)","While We Wait 2","Kehlani,Lucky Daye",2024-08-28,268401,56,,2024-11-27T05:56:55Z,"pop,r&b,rap,alternative r&b","TSNMI / Atlantic",0.724,0.606,6,-5.544,0,0.0846,0.0952,0.00109,0.186,0.605,72.502,4
1PxKsGzQcmiwDHvA9ig5gv,"Witchy (feat. Childish Gambino)","TIMELESS","KAYTRANADA,Childish Gambino",2024-06-07,227000,68,,2024-11-27T05:20:47Z,"alternative r&b,escape room,indie soul,lgbtq+ hip hop,atl hip hop,hip hop,rap","KAYTRANADA/RCA Records",0.592,0.619,5,-8.183,1,0.137,0.00125,0.000918,0.119,0.319,109.924,4
3I2OBA3kKdbDYzFAkDuc81,"LOVE, MONEY, FAME (feat. DJ Khaled)","LOVE, MONEY, FAME (feat. DJ Khaled) (Timbaland Remix)","SEVENTEEN,DJ Khaled",2024-11-01,186386,65,,2024-11-24T23:19:48Z,"k-pop,k-pop boy group,hip hop,miami hip hop,pop rap,rap","PLEDIS Entertainment",0.87,0.703,7,-4.371,1,0.0514,0.0412,0,0.0617,0.789,100.017,4
45XhKYRRkyeqoW3teSOkCM,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","Grateful","DJ Khaled,Rihanna,Bryson Tiller",2017-06-22,204664,65,,2024-11-24T23:14:39Z,"hip hop,miami hip hop,pop rap,rap,barbadian pop,pop,urban contemporary,kentucky hip hop,r&b","Epic/We The Best",0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,4
1SGvjfc85yzqKXsfKcCxn2,"heart pt. 6","GNX","Kendrick Lamar",2024-11-22,292461,84,,2024-11-22T22:27:27Z,"conscious hip hop,hip hop,rap,west coast rap","pgLang, under exclusive license to Interscope Records",0.704,0.647,9,-7.664,1,0.325,0.27,0,0.109,0.585,80.998,4
2Uts1QFB4u2YNIMiqcb4de,"peekaboo (feat. azchike)","GNX","Kendrick Lamar,AzChike",2024-11-22,155917,83,,2024-11-22T22:21:25Z,"conscious hip hop,hip hop,rap,west coast rap,cali rap","pgLang, under exclusive license to Interscope Records",0.889,0.298,1,-9.086,1,0.182,0.00306,0.0000126,0.173,0.314,100.042,4
45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-22,177598,91,,2024-11-22T21:48:33Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
0nj9Bq5sHDiTxSHunhgkFb,"squabble up","GNX","Kendrick Lamar",2024-11-22,157992,90,,2024-11-22T21:45:43Z,"conscious hip hop,hip hop,rap,west coast rap","pgLang, under exclusive license to Interscope Records",0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
5gOfC9UzZQzTyShqPMrpjT,"wacced out murals","GNX","Kendrick Lamar",2024-11-22,317092,86,,2024-11-22T21:43:56Z,"conscious hip hop,hip hop,rap,west coast rap","pgLang, under exclusive license to Interscope Records",0.761,0.501,9,-10.759,0,0.459,0.249,0,0.136,0.502,81.998,4
0xGQTpN4ESETtl1Sp6rzd2,"São Paulo (feat. Anitta)","São Paulo","The Weeknd,Anitta",2024-10-31,301623,84,,2024-11-20T18:22:28Z,"canadian contemporary r&b,canadian pop,pop,funk pop,funk rj,pagode baiano,pop nacional","XO / Republic Records",0.574,0.659,5,-7.377,0,0.0768,0.0412,0.0002,0.0921,0.506,127.347,4
7lozLnUfzcgEpMMVQI7yhA,"Why","COSMIC","Bazzi",2018-04-12,148259,64,,2024-11-13T04:13:44Z,"pop","iamcosmic",0.676,0.67,8,-6.584,1,0.0374,0.353,0,0.103,0.54,113.01,4
7foypmc7KZyU716Yv63BPe,"Saint","Huncho Jack, Jack Huncho","Huncho Jack,Travis Scott,Quavo",2017-12-21,140792,57,,2024-11-11T10:19:20Z,"melodic rap,trap,rap,slap house,atl hip hop","Quality Control Music - Epic",0.866,0.648,1,-3.675,1,0.0543,0.009,0,0.0967,0.0798,150.058,4
4QqROKO0RtV5CvxE7g90uw,"Cry For Love","Bambi - The 3rd Mini Album","BAEKHYUN",2021-03-30,210893,58,,2024-11-11T05:43:06Z,"k-pop","SM Entertainment",0.706,0.692,1,-4.084,0,0.0483,0.338,0,0.113,0.526,136.078,4
5sjnkOfTLCLNfkkchI2re2,"UP - KARINA Solo","SYNK : PARALLEL LINE - Special Digital Single","aespa",2024-10-09,166640,80,,2024-11-10T07:44:10Z,"k-pop girl group","SM Entertainment",0.777,0.781,6,-4.479,0,0.043,0.0137,0.00000277,0.0466,0.382,98.97,4
28qA8y1sz0FTuSapsCxNOG,"Father Time (feat. Sampha)","Mr. Morale & The Big Steppers","Kendrick Lamar,Sampha",2022-05-13,222497,69,,2024-11-10T03:39:50Z,"conscious hip hop,hip hop,rap,west coast rap,alternative r&b,indie soul","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.514,0.779,10,-4.365,0,0.344,0.181,0,0.099,0.517,152.869,4
77G0k1La0c5Dw8bAFANcyp,"Sports","Sports","Beach Bunny",2018-01-01,164165,22,,2024-11-03T02:15:50Z,"bubblegrunge,chicago indie,indie pop,pov: indie","Mom+Pop",0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142,4
3yv7994DWTEk3ihwy75YBQ,"Don’t Stop (feat. Young Thug)","Don’t Stop (feat. Young Thug)","Megan Thee Stallion,Young Thug",2020-10-02,187940,50,,2024-11-02T07:01:53Z,"houston rap,pop,rap,trap queen,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,trap","300 Entertainment",0.933,0.757,2,-3.212,1,0.117,0.00184,0,0.135,0.544,137.993,4
1C7KSXR2GVxknex6I4ANco,"9","Views","Drake",2016-05-06,255786,72,,2024-11-02T00:54:45Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","Cash Money Records/Young Money Ent./Universal Rec.",0.68,0.712,10,-7.184,1,0.0453,0.000803,0.000612,0.237,0.0379,100.009,4
06iup3YJ4EsnkSxyQKFfNk,"She Stank","Eternal Atake 2","Lil Uzi Vert",2024-11-01,125810,57,,2024-11-01T06:46:24Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap","Generation Now/Atlantic",0.687,0.576,1,-6.263,0,0.0713,0.0858,0,0.139,0.287,145.027,4
1197AvSs0lMg5kNIGaeENm,"Not An Option","Eternal Atake 2","Lil Uzi Vert",2024-11-01,150895,62,,2024-11-01T06:41:56Z,"hip hop,melodic rap,philly rap,rage rap,rap,trap","Generation Now/Atlantic",0.71,0.736,2,-3.932,1,0.147,0.0301,0,0.137,0.348,140.031,4
2tB9OFgAHjAds3cqquLlvp,"Loved By You (feat. Burna Boy)","Justice","Justin Bieber,Burna Boy",2021-03-19,159250,61,,2024-10-30T03:21:07Z,"canadian pop,pop,afrobeats,dancehall,nigerian hip hop,nigerian pop","RBMG/Def Jam",0.79,0.724,1,-6.972,1,0.0852,0.0696,0.00000233,0.113,0.642,101.04,4
0At2qAoaVjIwWNAqrscXli,"Boo'd Up","READY","Ella Mai",2017-02-22,256063,66,,2024-10-29T04:05:36Z,"r&b,rap,uk contemporary r&b,urban contemporary","10 Summers / Interscope PS",0.561,0.779,10,-5.107,0,0.0531,0.0862,0,0.078,0.235,81.965,4
2aYHxnMF2umAavtgBvmkY1,"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","CHROMAKOPIA","Tyler, The Creator,ScHoolboy Q,Santigold",2024-10-28,207272,82,,2024-10-28T18:10:14Z,"hip hop,rap,gangster rap,pop rap,southern hip hop,trap,alternative dance,art pop,indietronica,neo-synthpop","Columbia",0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77,4
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","CHROMAKOPIA","Tyler, The Creator,GloRilla,Sexyy Red,Lil Wayne",2024-10-28,255915,89,,2024-10-28T16:45:48Z,"hip hop,rap,southern hip hop,trap queen,new orleans rap,pop rap,trap","Columbia",0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","CHROMAKOPIA","Tyler, The Creator,Teezo Touchdown",2024-10-28,253834,84,,2024-10-28T16:18:57Z,"hip hop,rap","Columbia",0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571,4
58H8cWvvaFLFg2g7SdOO44,"What You See (feat. Justin Bieber)","Culture III","Migos,Justin Bieber",2021-06-11,179652,46,,2024-10-28T02:47:24Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,canadian pop,pop","Quality Control Music/Motown Records",0.701,0.798,7,-5.123,0,0.0584,0.0841,0,0.13,0.672,77.516,4
6dgUya35uo964z7GZXM07g,"Nonsense","emails i can't send","Sabrina Carpenter",2022-07-15,163648,86,,2024-10-23T16:43:58Z,"pop","Island Records",0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
1PeBPKbOCc370rnLKploBL,"ジュエリー (Prod. imase)","ジュエリー (Prod. imase)","LE SSERAFIM",2023-07-25,163813,53,,2024-10-23T05:13:40Z,"k-pop girl group","Universal Music LLC",0.725,0.863,9,-3.973,1,0.0514,0.102,0,0.13,0.691,119.018,4
2x6iNna6wQexggFz8smJcB,"Seventh Heaven","ALOHA INOHA","INOHA",2024-05-03,234499,70,,2024-10-22T17:08:47Z,"","INOHA Publishing",0.431,0.902,7,-6.721,1,0.0699,0.00115,0.00000281,0.343,0.479,162.995,4
1zi7xx7UVEFkmKfv06H8x0,"One Dance","Views","Drake,Wizkid,Kyla",2016-05-06,173986,84,,2024-10-22T04:38:03Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,afrobeats,afropop,azonto,nigerian hip hop,nigerian pop,uk funky","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,4
18mNgpNYZu7WwbLUH0uIqb,"Too Many Alex","Lose Yourself","KISS OF LIFE",2024-10-15,156346,53,,2024-10-22T02:25:46Z,"5th gen k-pop,k-pop girl group","S2 ENTERTAINMENT INC.",0.776,0.951,7,-2.608,1,0.221,0.0739,0.0000684,0.0738,0.767,100.03,4
2DbDefRFJ5YOfXCKOeCJJh,"Igloo","Lose Yourself","KISS OF LIFE",2024-10-15,131786,82,,2024-10-22T02:24:16Z,"5th gen k-pop,k-pop girl group","S2 ENTERTAINMENT INC.",0.916,0.609,11,-4.457,0,0.217,0.168,0,0.0906,0.873,139.912,4
6Gp5KgUbpWHQPKKSYHXGzY,"Chemistry","Lose Yourself","KISS OF LIFE",2024-10-15,184320,56,,2024-10-22T02:22:44Z,"5th gen k-pop,k-pop girl group","S2 ENTERTAINMENT INC.",0.721,0.729,5,-3.518,0,0.0517,0.184,0,0.0713,0.737,80.014,4
7zi7dD55ORKCGEjDNwSa1n,"Get Loud","Lose Yourself","KISS OF LIFE",2024-10-15,169973,68,,2024-10-22T02:00:30Z,"5th gen k-pop,k-pop girl group","S2 ENTERTAINMENT INC.",0.845,0.829,1,-4.505,1,0.104,0.0799,0,0.0592,0.879,110.02,4
0DWbt2kGzf4s0xeKZcBLfP,"Just Another Girl","Whiplash - The 5th Mini Album","aespa",2024-10-21,184266,55,,2024-10-22T01:27:59Z,"k-pop girl group","aespa",0.584,0.752,9,-5.98,1,0.0362,0.193,0,0.085,0.54,89.012,4
6jGAh1bFnXt1Muj9zeHveZ,"After Last Night (with Thundercat & Bootsy Collins)","An Evening With Silk Sonic","Bruno Mars,Anderson .Paak,Silk Sonic,Thundercat,Bootsy Collins",2021-11-12,249444,65,,2024-10-19T01:58:16Z,"dance pop,pop,escape room,hip hop,indie soul,neo soul,afrofuturism,funk,p funk,soul","Aftermath Entertainment/Atlantic",0.651,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.647,140.051,4
4mF0aVVHtmHQSIdem2Wh0g,"GONE 4 A MIN","LYFESTYLE","Yeat",2024-10-18,135053,64,,2024-10-19T01:08:13Z,"pluggnb,rage rap","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",0.581,0.599,7,-3.392,1,0.0284,0.24,0.0000045,0.351,0.0856,96,4
7DYa1xK4QzVZTejOnPBzQN,"BË QUIET (FEAT. KODAK BLACK)","LYFESTYLE","Yeat,Kodak Black",2024-10-18,174837,64,,2024-10-19T01:00:10Z,"pluggnb,rage rap,florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",0.692,0.558,5,-7.811,1,0.266,0.0121,0.0188,0.789,0.387,148.984,4
3Ygb9jYG5TeibrrKJzCPmV,"ORCHESTRATË","LYFESTYLE","Yeat",2024-10-18,173096,67,,2024-10-19T00:50:23Z,"pluggnb,rage rap","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",0.58,0.865,9,-3.287,1,0.2,0.00377,0,0.185,0.55,146.924,4
6EUcP55GlbmsmCzfL2vxtZ,"on one tonight","One of Wun","Gunna",2024-05-10,90760,84,,2024-10-18T06:30:47Z,"atl hip hop,melodic rap,rap,trap","300 Entertainment",0.887,0.727,4,-4.318,0,0.135,0.381,0.00000116,0.213,0.932,130.035,4
1TrW3KXvUPi5A2P19Lpa8m,"Blick Sum","Blick Sum","Saltyngget",2024-08-17,93946,58,,2024-10-17T06:11:46Z,"corecore","Saltyngget LLC",0.719,0.473,0,-14.467,1,0.292,0.00168,0,0.118,0.154,74.964,4
0Dnhk2l6TL3pMhsAxiaCHX,"Blick Sum","Sugar Honey Iced Tea","Latto",2024-08-13,191546,48,,2024-10-17T06:09:27Z,"trap queen","Streamcut/RCA Records",0.785,0.629,5,-6.832,1,0.294,0.000794,0,0.762,0.396,74.997,4
2o6xw31LFeAY2il34l0vpR,"RED SKY (feat. Machine Gun Kelly)","Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)","Trippie Redd,Travis Barker,mgk",2021-02-19,152149,47,,2024-10-14T20:21:34Z,"melodic rap,rap,trap,rap rock,ohio hip hop,pop rap","1400 Entertainment/TenThousand Projects",0.472,0.769,7,-4.198,1,0.0419,0.0249,0,0.239,0.587,159.999,4
2cZOYofOX4d6g0OXxkaIjA,"ALL RED","ALL RED","Playboi Carti",2024-09-13,148053,79,,2024-10-11T16:46:57Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE/Interscope Records",0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,4
12eAtj918bpsB4Vts8pCMu,"listen!","listen! (sped up)","hako",2023-06-23,88605,72,,2024-10-10T06:41:34Z,"","yhakankiran",0.74,0.678,11,-6.929,0,0.203,0.0483,0.0000349,0.166,0.13,134.107,4
69phA1R4gmQsBFRQ3INW8C,"ONE CALL","Ghetto Fabulous","Rich Amiri",2023-11-17,121399,76,,2024-10-10T05:40:41Z,"rage rap","Internet Money Records / 10K Projects",0.65,0.539,1,-7.281,1,0.0561,0.00617,0.0000267,0.114,0.253,158.105,4
5VMivzA6e7YD4HrZZEpclj,"F*cked A Fan","F*cked A Fan","Veeze,Rylo Rodriguez",2024-07-12,190704,66,,2024-10-08T00:27:04Z,"detroit hip hop,scam rap,alabama rap,atl trap,tennessee hip hop","Warner Records",0.853,0.646,11,-4.848,0,0.161,0.0436,0,0.146,0.238,141.009,4
1Es7AUAhQvapIcoh3qMKDL,"Timeless (with Playboi Carti)","Timeless","The Weeknd,Playboi Carti",2024-09-27,256000,92,,2024-10-04T19:59:43Z,"canadian contemporary r&b,canadian pop,pop,atl hip hop,plugg,pluggnb,rage rap,rap","XO / Republic Records",0.769,0.722,11,-5.485,0,0.0507,0.0584,0.00000256,0.111,0.57,119.973,4
56v8WEnGzLByGsDAXDiv4d,"ETA","NewJeans 2nd EP 'Get Up'","NewJeans",2023-07-21,151373,77,,2024-10-02T05:00:30Z,"k-pop,k-pop girl group","ADOR",0.812,0.749,10,-6.389,0,0.0397,0.108,0,0.0599,0.841,134.971,4
236P5yLtfnHgTMxevc0q6F,"TBH","PARTYNEXTDOOR","PARTYNEXTDOOR",2013-07-01,123080,75,,2024-09-28T16:32:10Z,"r&b,rap,urban contemporary","OVO Sound",0.543,0.681,1,-7.876,0,0.0477,0.159,0.00000149,0.298,0.154,124.926,4
6vVzKCUfA6LzEU9wH0xNUR,"Lightyears (with Young Thug)","Lightyears (with Young Thug)","Juice WRLD,Young Thug",2024-09-08,192130,63,,2024-09-16T19:01:26Z,"chicago rap,melodic rap,rap,atl hip hop,atl trap,gangster rap,hip hop,trap","Grade A Productions/Interscope Records",0.754,0.607,11,-5.371,0,0.105,0.169,0,0.111,0.217,90.003,4
3pf5M9sxSecmhjT9gMPwe9,"Like That","Requiem","keshi",2024-09-13,180106,62,,2024-09-13T22:19:34Z,"chill r&b","Island Records",0.686,0.634,1,-7.692,1,0.0499,0.218,0.00000332,0.0854,0.818,158.051,4
4fpfoturiKPbzXKU7z9hED,"Id","Requiem","keshi",2024-09-13,197219,57,,2024-09-13T16:34:54Z,"chill r&b","Island Records",0.275,0.512,0,-8.007,1,0.0356,0.269,0.0000377,0.0932,0.0503,152.191,4
2F6Cjiv4jXoW6WinuSsNdc,"Euphoria","Requiem","keshi",2024-09-13,216839,59,,2024-09-13T16:27:43Z,"chill r&b","Island Records",0.479,0.551,0,-6.72,1,0.0289,0.0209,0,0.123,0.142,137.126,4
7AaCqnFCdfEKesBwSzS8NQ,"Bodies","Requiem","keshi",2024-09-13,206237,61,,2024-09-13T16:11:54Z,"chill r&b","Island Records",0.659,0.458,6,-8.084,0,0.03,0.587,0.000408,0.135,0.217,109.013,4
7GjOb7jRRrB3nrNqFeKzff,"War","Requiem","keshi",2024-09-13,209031,60,,2024-09-13T16:08:03Z,"chill r&b","Island Records",0.527,0.645,0,-9.334,1,0.0489,0.445,0.00219,0.128,0.309,169.916,4
2SSbQoEqPHu6qAgi3pFobY,"Alone (Feat. LeeHi)","ALONE","Coogie,LeeHi",2022-06-27,179000,51,,2024-09-10T16:51:17Z,"k-rap,k-pop","AOMG",0.764,0.647,8,-4.733,1,0.0563,0.68,0,0.275,0.819,119.973,4
6i8MbzVn4nzyjUcSoVcz7B,"Armageddon","Armageddon - The 1st Album","aespa",2024-05-27,196466,47,,2024-09-08T23:17:18Z,"k-pop girl group","SM Entertainment",0.695,0.789,9,-2.05,1,0.0671,0.0651,0.00000139,0.168,0.469,91.991,4
2oaUUdELrrWV1BKtVQvXAh,"Something","NA","NAYEON",2024-06-14,187533,50,,2024-09-06T05:49:55Z,"k-pop","Republic Records – NAYEON (TWICE)",0.766,0.831,9,-1.396,1,0.0491,0.232,0.00042,0.151,0.846,140.032,4
07W0lOkOUhVhdJQ9wVepWr,"Butterflies","NA","NAYEON",2024-06-14,221680,54,,2024-09-06T04:16:49Z,"k-pop","Republic Records – NAYEON (TWICE)",0.701,0.856,1,-3.334,1,0.166,0.324,0,0.0831,0.847,160.008,4
76qqDJijAjFph7sjUxNVG8,"Shhh","KISS OF LIFE","KISS OF LIFE",2023-07-05,182240,66,,2024-09-06T03:03:37Z,"5th gen k-pop,k-pop girl group","S2 ENTERTAINMENT INC.",0.796,0.758,6,-4.402,1,0.117,0.156,0.00000265,0.0622,0.829,99.98,4
6pLYWcPnBdFJShuUARDIwj,"Magic (Feat. JULIE of KISS OF LIFE)","NA","NAYEON,JULIE",2024-06-14,206613,56,,2024-09-06T02:37:54Z,"k-pop","Republic Records – NAYEON (TWICE)",0.776,0.811,11,-3.974,0,0.154,0.196,0,0.278,0.896,113.011,4
5TYuLyU5zNBp8N1qnDkKAY,"Left 4 Dead","A Love Letter To You 5","Trippie Redd",2023-08-11,118640,43,,2024-09-01T22:46:07Z,"melodic rap,rap,trap","1400 Entertainment, Inc. / 10K Projects",0.659,0.519,0,-6.18,1,0.12,0.612,0,0.212,0.482,161.761,4
3efc1ZMCTGsuLJgpCJCKIt,"Praying 4 Love","A Love Letter To You 5","Trippie Redd",2023-08-11,156133,41,,2024-09-01T22:37:34Z,"melodic rap,rap,trap","1400 Entertainment, Inc. / 10K Projects",0.704,0.212,9,-7.639,0,0.0497,0.671,0.00000233,0.092,0.494,70.059,4
